film,filmLabel,publicationYear,assessmentLabel,outcomeLabel,reviewScore
http://www.wikidata.org/entity/Q1174616,Барби: Сказочная страна,2004,тест Бекдел,проходит,
http://www.wikidata.org/entity/Q1199301,Крутые девчонки,2002,тест Бекдел,проходит,
http://www.wikidata.org/entity/Q1216146,Принцесса-лебедь,1996,тест Бекдел,не проходит,
http://www.wikidata.org/entity/Q1216146,Принцесса-лебедь,1994,тест Бекдел,не проходит,
http://www.wikidata.org/entity/Q1259032,Футурама: В дикие зелёные дали,2009,тест Бекдел,проходит,
http://www.wikidata.org/entity/Q1259032,Футурама: В дикие зелёные дали,2009,тест Бекдел,проходит,
http://www.wikidata.org/entity/Q1259032,Футурама: В дикие зелёные дали,2008,тест Бекдел,проходит,
http://www.wikidata.org/entity/Q1349588,Покахонтас 2: Путешествие в Новый Свет,1999,тест Бекдел,проходит,
http://www.wikidata.org/entity/Q1349588,Покахонтас 2: Путешествие в Новый Свет,1998,тест Бекдел,проходит,
http://www.wikidata.org/entity/Q1377330,Футурама: Игра Бендера,2008,тест Бекдел,не проходит,
http://www.wikidata.org/entity/Q1377330,Футурама: Игра Бендера,2008,тест Бекдел,не проходит,
http://www.wikidata.org/entity/Q1377330,Футурама: Игра Бендера,2008,тест Бекдел,не проходит,
http://www.wikidata.org/entity/Q1377330,Футурама: Игра Бендера,2008,тест Бекдел,не проходит,
http://www.wikidata.org/entity/Q1377330,Футурама: Игра Бендера,2008,тест Бекдел,не проходит,
http://www.wikidata.org/entity/Q1402152,Американская сказка 2: Фейвел едет на Запад,1992,тест Бекдел,проходит,
http://www.wikidata.org/entity/Q1402152,Американская сказка 2: Фейвел едет на Запад,1991,тест Бекдел,проходит,
http://www.wikidata.org/entity/Q1402152,Американская сказка 2: Фейвел едет на Запад,1991,тест Бекдел,проходит,
http://www.wikidata.org/entity/Q1419091,Футурама: Зверь с миллиардом спин,2008,тест Бекдел,не проходит,
http://www.wikidata.org/entity/Q1419091,Футурама: Зверь с миллиардом спин,2008,тест Бекдел,не проходит,
http://www.wikidata.org/entity/Q1419091,Футурама: Зверь с миллиардом спин,2008,тест Бекдел,не проходит,
