film,filmLabel,genreLabel,countryLabel,duration,capital_cost
http://www.wikidata.org/entity/Q1128756,Мэри и Макс,взрослая анимация,Австралия,90,8240000
http://www.wikidata.org/entity/Q1199692,Отважный маленький тостер,экранизация литературного произведения,США,90,2300000
http://www.wikidata.org/entity/Q1514402,Ренессанс,киберпанк,Люксембург,101,18000000
http://www.wikidata.org/entity/Q1514402,Ренессанс,неонуар,Франция,101,18000000
http://www.wikidata.org/entity/Q1418615,Приключения кота Фрица,экранизация литературного произведения,США,75,700000
http://www.wikidata.org/entity/Q1164767,Иллюзионист,драматический фильм,Франция,80,11000000
http://www.wikidata.org/entity/Q1199692,Отважный маленький тостер,детский фильм,США,90,2300000
http://www.wikidata.org/entity/Q1161289,Ловушка для кошек-2,приключенческий фильм,Венгрия,90,3000000
http://www.wikidata.org/entity/Q1514402,Ренессанс,научно-фантастический фильм,Франция,101,18000000
http://www.wikidata.org/entity/Q1418615,Приключения кота Фрица,чёрная комедия,США,75,700000
http://www.wikidata.org/entity/Q1361113,Винни и Слонотоп,детский фильм,США,68,20000000
http://www.wikidata.org/entity/Q1199692,Отважный маленький тостер,музыкальный фильм,США,90,2300000
http://www.wikidata.org/entity/Q1406374,Большой фильм про Поросёнка,музыкальный фильм,США,75,35000000
http://www.wikidata.org/entity/Q1129308,Рога и копыта,подростковый фильм,США,90,51000000
http://www.wikidata.org/entity/Q1129308,Рога и копыта,семейный фильм,США,90,51000000
http://www.wikidata.org/entity/Q1514402,Ренессанс,неонуар,Люксембург,101,18000000
http://www.wikidata.org/entity/Q1514402,Ренессанс,флешбэк-фильм,Великобритания,101,18000000
http://www.wikidata.org/entity/Q1514402,Ренессанс,научно-фантастический фильм,Люксембург,101,18000000
http://www.wikidata.org/entity/Q1128756,Мэри и Макс,комедийная драма,Австралия,90,8240000
http://www.wikidata.org/entity/Q1199692,Отважный маленький тостер,фэнтезийный фильм,США,90,2300000
http://www.wikidata.org/entity/Q1161289,Ловушка для кошек-2,комедийный фильм,Венгрия,90,3000000
http://www.wikidata.org/entity/Q1471965,Тяжёлый металл,боевик,Канада,90,9300000
http://www.wikidata.org/entity/Q1129308,Рога и копыта,комедийный фильм,США,90,51000000
http://www.wikidata.org/entity/Q1199692,Отважный маленький тостер,семейный фильм,США,90,2300000
http://www.wikidata.org/entity/Q1361113,Винни и Слонотоп,фэнтезийный фильм,США,68,20000000
http://www.wikidata.org/entity/Q1138751,Отчаянные псы,приключенческий фильм,США,103,900000
http://www.wikidata.org/entity/Q1514402,Ренессанс,флешбэк-фильм,Франция,101,18000000
http://www.wikidata.org/entity/Q1129308,Рога и копыта,подростковый фильм,Германия,90,51000000
http://www.wikidata.org/entity/Q1471965,Тяжёлый металл,приключенческий фильм,Канада,90,9300000
http://www.wikidata.org/entity/Q1434522,Мухнём на Луну,детский фильм,Бельгия,85,25000000
http://www.wikidata.org/entity/Q1129308,Рога и копыта,семейный фильм,Германия,90,51000000
http://www.wikidata.org/entity/Q1514402,Ренессанс,боевик,Великобритания,101,18000000
http://www.wikidata.org/entity/Q1263501,Утиные истории: Заветная лампа,приключенческий фильм,США,74,20000000
http://www.wikidata.org/entity/Q1138751,Отчаянные псы,приключенческий фильм,Великобритания,103,900000
http://www.wikidata.org/entity/Q1164767,Иллюзионист,фильм о взрослении,Великобритания,80,11000000
http://www.wikidata.org/entity/Q1434522,Мухнём на Луну,кинофантастика,Бельгия,85,25000000
http://www.wikidata.org/entity/Q1471965,Тяжёлый металл,фэнтезийный фильм,Канада,90,9300000
http://www.wikidata.org/entity/Q1361113,Винни и Слонотоп,семейный фильм,США,68,20000000
http://www.wikidata.org/entity/Q1129308,Рога и копыта,драма,США,90,51000000
