country,countryLabel,gdp,population,coordinates
http://www.wikidata.org/entity/Q408,Австралия,54348.23,27614411,Point(133.0 -25.0)
http://www.wikidata.org/entity/Q664,Новая Зеландия,41666.64,5307800,Point(174.0 -41.2)
http://www.wikidata.org/entity/Q28,Венгрия,37128,9603634,Point(19.0 47.0)
http://www.wikidata.org/entity/Q213,Чехия,31707,10909500,Point(15.0 50.0)
http://www.wikidata.org/entity/Q29,Испания,29993.06,48592909,Point(-3.5 40.2)
http://www.wikidata.org/entity/Q191,Эстония,23757.62,1369995,Point(26.0 59.0)
http://www.wikidata.org/entity/Q244,Барбадос,18798,303431,Point(-59.5525 13.17)
http://www.wikidata.org/entity/Q963,Ботсвана,6710.99,2480244,Point(23.7 -22.2)
http://www.wikidata.org/entity/Q691,Папуа — Новая Гвинея,2757.22,8935000,Point(147.0 -6.3)
http://www.wikidata.org/entity/Q750,Боливия,,12244159,Point(-64.991228611 -17.056869611)
http://www.wikidata.org/entity/Q754,Тринидад и Тобаго,,1369125,Point(-61.516666666 10.666666666)
http://www.wikidata.org/entity/Q757,Сент-Винсент и Гренадины,,109897,Point(-61.2296 13.0139)
http://www.wikidata.org/entity/Q760,Сент-Люсия,,167591,Point(-60.966666666 13.883333333)
http://www.wikidata.org/entity/Q763,Сент-Китс и Невис,,46922,Point(-62.666669444 17.271666666)
http://www.wikidata.org/entity/Q766,Ямайка,,2697983,Point(-77.4 18.18)
http://www.wikidata.org/entity/Q769,Гренада,,114299,Point(-61.7 12.1)
http://www.wikidata.org/entity/Q774,Гватемала,,17263239,Point(-90.25 15.5)
http://www.wikidata.org/entity/Q778,Багамские Острова,,399440,Point(-77.4 25.0)
http://www.wikidata.org/entity/Q781,Антигуа и Барбуда,,101489,Point(-61.85 17.116666666)
http://www.wikidata.org/entity/Q783,Гондурас,,8303771,Point(-86.816667 14.633333)
http://www.wikidata.org/entity/Q784,Доминика,,74656,Point(-61.333333 15.416667)
http://www.wikidata.org/entity/Q786,Доминиканская Республика,,10760028,Point(-70.2 18.8)
http://www.wikidata.org/entity/Q790,Гаити,,10981229,Point(-72.8 19.0)
http://www.wikidata.org/entity/Q792,Сальвадор,,6029976,Point(-88.866111 13.668889)
http://www.wikidata.org/entity/Q794,Иран,,92417700,Point(53.0 32.0)
http://www.wikidata.org/entity/Q796,Ирак,,38274618,Point(43.0 33.0)
http://www.wikidata.org/entity/Q800,Коста-Рика,,5265575,Point(-84.0 10.0)
http://www.wikidata.org/entity/Q801,Израиль,,9840000,Point(35.0 31.0)
http://www.wikidata.org/entity/Q804,Панама,,4570133,Point(-80.366667 8.616667)
http://www.wikidata.org/entity/Q805,Йемен,,28250420,Point(48.0 15.5)
http://www.wikidata.org/entity/Q810,Иордания,,10428241,Point(36.5 31.2)
http://www.wikidata.org/entity/Q811,Никарагуа,,5142098,Point(-85.0 13.0)
http://www.wikidata.org/entity/Q813,Кыргызстан,,7281800,Point(75.0 41.0)
http://www.wikidata.org/entity/Q817,Кувейт,,4464000,Point(47.6 29.166667)
http://www.wikidata.org/entity/Q819,Лаос,,6858160,Point(104.1 18.2)
http://www.wikidata.org/entity/Q822,Ливан,,6100075,Point(35.766667 33.833333)
http://www.wikidata.org/entity/Q826,Мальдивы,,436330,Point(73.51 4.18)
http://www.wikidata.org/entity/Q833,Малайзия,,32447385,Point(102.314361666 3.7805111)
http://www.wikidata.org/entity/Q836,Мьянма,,53370609,Point(96.0 22.0)
http://www.wikidata.org/entity/Q837,Непал,,29164578,Point(84.0 28.0)
http://www.wikidata.org/entity/Q842,Оман,,4829480,Point(57.0 21.0)
http://www.wikidata.org/entity/Q843,Пакистан,,223773700,Point(71.0 30.0)
http://www.wikidata.org/entity/Q846,Катар,,2639211,Point(51.212767 25.269535)
http://www.wikidata.org/entity/Q851,Саудовская Аравия,,33000000,Point(44.116667 23.716667)
http://www.wikidata.org/entity/Q854,Шри-Ланка,,21444000,Point(81.0 7.0)
http://www.wikidata.org/entity/Q858,Сирия,,23865423,Point(38.583333 35.216667)
http://www.wikidata.org/entity/Q863,Таджикистан,,9504000,Point(71.366667 38.583333)
http://www.wikidata.org/entity/Q865,Китайская Республика (Тайвань),,23317031,Point(121.0 24.0)
http://www.wikidata.org/entity/Q869,Таиланд,,66188503,Point(101.0 14.0)
http://www.wikidata.org/entity/Q874,Туркменистан,,6117933,Point(60.0 39.0)
http://www.wikidata.org/entity/Q878,Объединённые Арабские Эмираты,,9890400,Point(54.3 24.4)
http://www.wikidata.org/entity/Q881,Вьетнам,,96208984,Point(108.0 16.0)
http://www.wikidata.org/entity/Q884,Республика Корея,,51466201,Point(128.0 36.0)
http://www.wikidata.org/entity/Q889,Афганистан,,41454761,Point(66.0 33.0)
http://www.wikidata.org/entity/Q902,Бангладеш,,171466990,Point(89.866666666 24.016666666)
http://www.wikidata.org/entity/Q912,Мали,,20250833,Point(-4.0 17.0)
http://www.wikidata.org/entity/Q916,Ангола,,36749906,Point(17.35 -12.35)
http://www.wikidata.org/entity/Q917,Бутан,,787424,Point(90.5 27.45)
http://www.wikidata.org/entity/Q921,Бруней,,458949,Point(114.566667 4.4)
http://www.wikidata.org/entity/Q924,Танзания,,57310019,Point(34.853888888 -6.306944444)
http://www.wikidata.org/entity/Q928,Филиппины,,112729484,Point(123.0 12.0)
http://www.wikidata.org/entity/Q929,Центральноафриканская Республика,,5152421,Point(20.9 6.7)
http://www.wikidata.org/entity/Q945,Того,,7797694,Point(1.183333 8.25)
http://www.wikidata.org/entity/Q948,Тунис,,11565204,Point(10.0 34.0)
http://www.wikidata.org/entity/Q953,Замбия,,19610769,Point(28.0 -14.0)
http://www.wikidata.org/entity/Q954,Зимбабве,,15178979,Point(30.0 -19.0)
http://www.wikidata.org/entity/Q958,Южный Судан,,12575714,Point(30.0 7.0)
http://www.wikidata.org/entity/Q962,Бенин,,14111034,Point(2.183333333 8.833333333)
http://www.wikidata.org/entity/Q965,Буркина-Фасо,,23025776,Point(-2.066667 12.266667)
http://www.wikidata.org/entity/Q967,Бурунди,,13689450,Point(29.816667 -3.666667)
http://www.wikidata.org/entity/Q970,Коморы,,902348,Point(43.7 -12.3)
http://www.wikidata.org/entity/Q971,Республика Конго,,6142180,Point(15.383330555 -0.75)
http://www.wikidata.org/entity/Q974,Демократическая Республика Конго,,105789731,Point(23.656111111 -2.88)
http://www.wikidata.org/entity/Q977,Джибути,,1152944,Point(42.433333 11.8)
http://www.wikidata.org/entity/Q983,Экваториальная Гвинея,,1847549,Point(10.0 1.5)
http://www.wikidata.org/entity/Q986,Эритрея,,3497000,Point(38.25 15.483333)
http://www.wikidata.org/entity/Q1000,Габон,,2025137,Point(11.5 -0.683330555)
http://www.wikidata.org/entity/Q1005,Гамбия,,2639916,Point(-15.5 13.5)
http://www.wikidata.org/entity/Q1006,Гвинея,,12717176,Point(-11.0 10.0)
http://www.wikidata.org/entity/Q1007,Гвинея-Бисау,,1861283,Point(-15.0 12.0)
http://www.wikidata.org/entity/Q1008,Кот-д’Ивуар,,31165654,Point(-6.0 8.0)
http://www.wikidata.org/entity/Q1009,Камерун,,28372687,Point(12.65 5.133333333)
http://www.wikidata.org/entity/Q1011,Кабо-Верде,,555988,Point(-23.7 15.3)
http://www.wikidata.org/entity/Q1013,Лесото,,2007201,Point(28.25 -29.55)
http://www.wikidata.org/entity/Q1014,Либерия,,5214030,Point(-9.75 6.533333)
http://www.wikidata.org/entity/Q1016,Ливия,,6678567,Point(17.0 27.0)
http://www.wikidata.org/entity/Q1019,Мадагаскар,,31964956,Point(47.0 -20.0)
http://www.wikidata.org/entity/Q1020,Малави,,17563749,Point(34.0 -13.0)
http://www.wikidata.org/entity/Q1025,Мавритания,,4736139,Point(-11.0 21.0)
http://www.wikidata.org/entity/Q1027,Маврикий,,1264613,Point(57.5 -20.2)
http://www.wikidata.org/entity/Q1028,Марокко,,36828330,Point(-6.0 32.0)
http://www.wikidata.org/entity/Q1029,Мозамбик,,29668834,Point(35.0 -19.0)
http://www.wikidata.org/entity/Q1030,Намибия,,2533794,Point(17.0 -23.0)
http://www.wikidata.org/entity/Q1032,Нигер,,21477348,Point(10.0 17.0)
http://www.wikidata.org/entity/Q1033,Нигерия,,211400708,Point(8.0 9.0)
http://www.wikidata.org/entity/Q1036,Уганда,,47123531,Point(32.39 1.28)
http://www.wikidata.org/entity/Q1037,Руанда,,14569341,Point(30.0 -2.0)
http://www.wikidata.org/entity/Q1039,Сан-Томе и Принсипи,,204327,Point(6.6 0.316667)
http://www.wikidata.org/entity/Q1041,Сенегал,,16876720,Point(-14.283333 14.366667)
http://www.wikidata.org/entity/Q1042,Сейшельские Острова,,119773,Point(52.766667 -7.1)
http://www.wikidata.org/entity/Q1044,Сьерра-Леоне,,7557212,Point(-12.1 8.5)
http://www.wikidata.org/entity/Q1045,Сомали,,11031386,Point(47.0 6.0)
http://www.wikidata.org/entity/Q1049,Судан,,40533330,Point(32.0 15.0)
http://www.wikidata.org/entity/Q1050,Эсватини,,1230506,Point(31.433333 -26.483333)
http://www.wikidata.org/entity/Q1246,Республика Косово,,1586659,Point(20.833333333 42.55)
http://www.wikidata.org/entity/Q21203,Аруба,,106739,Point(-69.97422388 12.51106253)
http://www.wikidata.org/entity/Q23681,Турецкая Республика Северного Кипра,,476214,Point(33.3634 35.1816)
